country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belarus,5230,5340,4920,4650,4190,3850,4050,4590,5060,5340,5780,6220,6690,7380,8490,9660,11k,12.2k,13.7k,13.7k,15.1k,16.4k,17.7k,18.3k,18.4k,17.3k,16.9k,17.7k,18.7k,19.5k,19.5k,21.1k,21.7k
Belize,4390,4970,5580,5920,5870,5920,5890,6060,6100,6500,7170,7380,7680,8200,8420,8670,9060,9190,8950,9130,8870,9080,8520,8730,8600,8850,8640,8310,8320,8670,7780,9430,10.7k
Bermuda,,,,,,,,,,,,,,,,,,,,,72.2k,71.8k,70.5k,72.2k,71.4k,74.5k,78.5k,85.2k,86.1k,86.3k,82.8k,90.5k,98.6k
Bolivia,2180,2330,2400,2510,2650,2780,2900,3050,3200,3190,3270,3350,3420,3480,3640,3870,4120,4340,4640,4710,4850,5140,5460,6100,6560,6750,7210,8000,8460,8710,8020,8660,9460
Brazil,6440,6640,6670,7010,7350,7900,8100,8360,8330,8280,8740,8900,9190,9390,10.1k,10.6k,11.3k,12.3k,13k,12.9k,13.8k,14.6k,14.6k,15.3k,15.4k,14.4k,13.9k,14.2k,14.6k,14.9k,14.6k,15.8k,17.3k
Barbados,9430,9380,9060,9280,9620,9950,10.5k,11.2k,11.7k,11.9k,12.6k,12.5k,12.7k,13.2k,13.8k,14.5k,15.6k,16.6k,16.8k,16.1k,16.2k,15.7k,15.2k,15.1k,15k,15.3k,15.7k,15.5k,15.7k,15.9k,14.6k,14.7k,17.5k
Brunei,55.2k,57.1k,59.5k,59.5k,61.2k,63.7k,65.2k,63.9k,62.8k,64.3k,66.2k,68.2k,70.5k,72.6k,73.6k,74.9k,79.3k,80.7k,79.3k,77.4k,78.2k,80.1k,84.5k,81.4k,80k,64.7k,59.5k,63.8k,61.5k,65.8k,67k,66.8k,67.8k
Bhutan,1470,1450,1570,1740,1920,1960,2100,2270,2230,2320,2860,3090,3350,3560,3790,4140,4540,5400,5630,5900,6510,7040,7530,7690,8350,9180,9980,10.7k,11.2k,12k,11.1k,12.1k,
Botswana,5650,6380,6610,6990,6330,7080,7090,7830,8230,8300,8360,8730,8210,8950,9150,9950,11.3k,12.3k,12.5k,11k,11.7k,12.9k,12.3k,12.2k,13.9k,13k,14k,13.4k,13.9k,14.9k,14.3k,16.3k,17.8k
Central African Republic,620,620,580,570,590,630,600,630,650,670,640,680,690,660,700,710,750,790,800,870,910,950,1030,690,680,740,800,880,940,960,950,990,1030
